timestamp,epoch,in_sample,accuracy,loss
2020-12-22 17:27:12.918887,1,in_sample,0.65,0.2098
2020-12-22 17:27:13.054890,1,in_sample,0.62,0.2299
2020-12-22 17:27:13.167888,1,in_sample,0.7,0.2004
2020-12-22 17:27:13.299888,1,in_sample,0.7,0.2077
2020-12-22 17:27:13.434927,1,in_sample,0.61,0.2331
2020-12-22 17:27:13.573927,1,in_sample,0.64,0.23
2020-12-22 17:27:13.715927,1,in_sample,0.59,0.2453
2020-12-22 17:27:13.852928,1,in_sample,0.66,0.214
2020-12-22 17:27:13.988927,1,in_sample,0.65,0.2118
2020-12-22 17:27:14.132927,1,in_sample,0.62,0.2313
2020-12-22 17:27:14.263927,1,in_sample,0.62,0.2393
2020-12-22 17:27:14.398927,1,in_sample,0.62,0.2346
2020-12-22 17:27:14.522927,1,in_sample,0.65,0.2139
2020-12-22 17:27:14.650929,1,in_sample,0.58,0.2248
2020-12-22 17:27:14.770440,1,in_sample,0.61,0.243
2020-12-22 17:27:14.898440,1,in_sample,0.49,0.2856
2020-12-22 17:27:15.028479,1,in_sample,0.6,0.2341
2020-12-22 17:27:15.147992,1,in_sample,0.7,0.2217
2020-12-22 17:27:15.278508,1,in_sample,0.61,0.2347
2020-12-22 17:27:15.409509,1,in_sample,0.59,0.2373
2020-12-22 17:27:15.528507,1,in_sample,0.55,0.2401
2020-12-22 17:27:15.662507,1,in_sample,0.58,0.2349
2020-12-22 17:27:15.775508,1,in_sample,0.47,0.2842
2020-12-22 17:27:15.911511,1,in_sample,0.54,0.2464
2020-12-22 17:27:16.050507,1,in_sample,0.57,0.2239
2020-12-22 17:27:16.184559,1,in_sample,0.57,0.2339
2020-12-22 17:27:16.305560,1,in_sample,0.69,0.2178
2020-12-22 17:27:16.440556,1,in_sample,0.68,0.2186
2020-12-22 17:27:16.561558,1,in_sample,0.63,0.2224
2020-12-22 17:27:16.696557,1,in_sample,0.64,0.2386
2020-12-22 17:27:16.810557,1,in_sample,0.6,0.238
2020-12-22 17:27:16.952556,1,in_sample,0.66,0.2296
2020-12-22 17:27:17.082557,1,in_sample,0.72,0.2157
2020-12-22 17:27:17.211560,1,in_sample,0.58,0.2326
2020-12-22 17:27:17.345558,1,in_sample,0.7,0.2187
2020-12-22 17:27:17.469557,1,in_sample,0.65,0.228
2020-12-22 17:27:17.599578,1,in_sample,0.67,0.2133
2020-12-22 17:27:17.723580,1,in_sample,0.69,0.2234
2020-12-22 17:27:17.862578,1,in_sample,0.65,0.2204
2020-12-22 17:27:18.002577,1,in_sample,0.64,0.2298
2020-12-22 17:27:18.135600,1,in_sample,0.67,0.2162
2020-12-22 17:27:18.247600,1,in_sample,0.65,0.2285
2020-12-22 17:27:18.387600,1,in_sample,0.61,0.2187
2020-12-22 17:27:18.507601,1,in_sample,0.64,0.2299
2020-12-22 17:27:18.637600,1,in_sample,0.71,0.2085
2020-12-22 17:27:18.773601,1,in_sample,0.57,0.2336
2020-12-22 17:27:18.895111,1,in_sample,0.61,0.2394
2020-12-22 17:27:19.022111,1,in_sample,0.72,0.2028
2020-12-22 17:27:19.148112,1,in_sample,0.62,0.219
2020-12-22 17:27:19.280115,1,in_sample,0.63,0.219
2020-12-22 17:27:19.416114,1,in_sample,0.66,0.2194
2020-12-22 17:27:19.533114,1,in_sample,0.66,0.2058
2020-12-22 17:27:19.652111,1,in_sample,0.7,0.2042
2020-12-22 17:27:19.785115,1,in_sample,0.61,0.2393
2020-12-22 17:27:19.927112,1,in_sample,0.63,0.2271
2020-12-22 17:27:20.057120,1,in_sample,0.63,0.2174
2020-12-22 17:27:20.191121,1,in_sample,0.77,0.1881
